tweet_id,username,number_of_followers,created_at,tweet_text,source,likes,retweets,user_location
931859637607043072,Bfd2Dog,617,2017-11-18 12:20:25,RT @PeterKGeoghegan: Just as well Irish politicians can’t read the UK press.... #brexit https://t.co/ek4tDBf4TA,Twitter Web Client,0,117,
931859620058030081,k3books,11144,2017-11-18 12:20:21,"@charledarc Don't be stupid 
JUNKER didn't drive down the streets of Europe on the back of a truck with sign ((Vote… https://t.co/26iiIM72Bz",Twitter for Android,0,0,Leeds UK
931859596205023232,Doozy_45,1437,2017-11-18 12:20:15,BREXIT TRUTHS: Is UK economy really as strong as the government says it is? / #Brexit #StopBrexit https://t.co/LLHMgGHQ9H,Twitter for Android,0,0,
931859591671009281,Meghan_1807,250,2017-11-18 12:20:14,RT @HeldinEU: Sausage Jesus was the decoy for truly worrying stuff #Brexit https://t.co/ng4Xp7fQJN,Mobile Web (M2),0,1,
931859491347410944,DubsHart,27,2017-11-18 12:19:50,"@ThatTimWalker #Legatum event: ""Join our experts next Tuesday to discuss how we make Global Britain a reality post… https://t.co/EMsChyeMiS",Twitter for iPad,0,0,Cumbria
931859481880944640,mrdissent,1055,2017-11-18 12:19:48,RT @PeterKGeoghegan: Just as well Irish politicians can’t read the UK press.... #brexit https://t.co/ek4tDBf4TA,Twitter Web Client,0,117,"Scotland, Europe"
931859468643717121,trotman_deirdre,1913,2017-11-18 12:19:45,RT @jurygroup: Should UK just walk away from #Brexit talks and let the EU chase for trade and future talks? - Brexit: EU gives May two week…,Twitter for iPad,0,122,
931859462851358720,Samsmethers,4239,2017-11-18 12:19:43,Now hearing from @RachelCrasnowQC on the impact of #Brexit on women's rights #FeministFutures,Twitter for Android,0,1,London
931859424158912513,poliauntie,235,2017-11-18 12:19:34,RT @PeterKGeoghegan: Just as well Irish politicians can’t read the UK press.... #brexit https://t.co/ek4tDBf4TA,Twitter for iPhone,0,117,
931859412461019137,glynmoody,20822,2017-11-18 12:19:31,"this is the true voice of loutish, bigoted, stupid #brexit britain: ""Irish prime minister should shut his gob""... https://t.co/tV8PSoXeda",Twitter Web Client,1,1,London
931859406509170690,28481k,2544,2017-11-18 12:19:30,"RT @jonworth: This is a fab thread. Matter of fact language and top emoji use!

#Brexit https://t.co/MJXuYazGrG",Twitter for iPhone,0,6,Hong Kong
931859401211895809,FederalBritain,1471,2017-11-18 12:19:29,@FreeofIdeology @mrchrisnewton @RickPoleway And that is why #Brexit is a populist movement: pretending to be repres… https://t.co/EfYyjHLPYL,Twitter for Android,0,0,Gone fishing again
931859401085943808,ton_blind,734,2017-11-18 12:19:28,"RT @EngPatriot: Time that the new Irish PM realised we are Ireland's best friend and biggest trading partner, not the #EU  #BREXIT https://…",Twitter for Android,0,3,
931859385416081408,Hammertime019,958,2017-11-18 12:19:25,"RT @smartnotstupid: What kind of #brexit do you want?

#BBCQT 

Please Retweet",Twitter for Android,0,474,"England, United Kingdom"
931859371440656384,alloneworddotie,1206,2017-11-18 12:19:21,If you read one thing #Brexit this week @davidallengreen https://t.co/yVxGoYymVJ,Twitter for iPhone,0,0,"Dublin, Ireland"
931859361563054080,iCourts_jur,1478,2017-11-18 12:19:19,RT @jedodermatt: Great to be back at @LeuvenU for the LERU Brexit Seminar. Discussing #Brexit and dispute settlement @iCourts_jur https://t…,Twitter for Android,0,1,"Copenhagen, Denmark"
931859337508806663,LadyBrienne1,962,2017-11-18 12:19:13,"RT @creativeblock_: David Davis should not be allowed to quit #brexit. Its his project, his strategy, his failure, if he wants to quit Brex…",Twitter for iPhone,0,2,
931859293015384069,zlando,27811,2017-11-18 12:19:03,"Skate boards can be dangerous.
So is allowing people like this into your country!
#Brexit
#MAGA https://t.co/9wSP1wjuO3 1510987719",Zlando,2,2,"Jerusalem, Israel"
931859292734545921,happyhippy2015,355,2017-11-18 12:19:03,RT @nickbeddows: Yes I genuinely believe this is what's driving the right wing #Brexit Profit before people. Hence #legatum ostensibly Brit…,Twitter for iPhone,0,23,
931859281485467648,baynes_simon,998,2017-11-18 12:19:00,RT @OwenPaterson: Thanks to the audience &amp; to the panel for last night’s @BBCAnyQuestions. You can listen to us discuss #Brexit negotiation…,Twitter for iPhone,0,2,Wales
931859275089096704,NFL_2018,210,2017-11-18 12:18:58,RT @2016NJ1: 🔊 Blow the whistle 🔓@ #wikileaks #eagles #nygiants #nfl #netflix  #iTunes #Brexit #nyc #starbucks #uber #music #snapchat #amaz…,March Madness Bot,0,1,United States
931859267002519552,HeldinEU,906,2017-11-18 12:18:57,Sausage Jesus was the decoy for truly worrying stuff #Brexit https://t.co/ng4Xp7fQJN,Twitter for Android,0,1,
931859265891045376,thephper,64,2017-11-18 12:18:56,@ThatTimWalker Because #brexit was a real win for all media outlets unlimited news for years and they don't want to… https://t.co/uXYv8S51mU,Twitter Web Client,0,0,UK
931859265639321601,NightwatchmanUK,139,2017-11-18 12:18:56,"Applies 100% to #Brexit as well, mutatis mutandis. https://t.co/mYJKQy4YJ8",Twitter Web Client,0,0,Somewhere in the amorphous soup
931859234739847168,henrietta6,239,2017-11-18 12:18:49,"RT @WilliamPMack: Despite #ParadisePapers, David Davis' #Brexit impact study idiocy, cabinet resignations, the calamity of #UC, multiple al…",Twitter Web Client,0,35,
931859232240128000,No1Ghirl,1983,2017-11-18 12:18:48,"RT @RationalPanic: Or maybe the DUP should just tell us how they had this all figured out when they backed #Brexit

I mean, only a group of…",Twitter for Android,0,4,
931859222287060992,RubyBayleyPratt,361,2017-11-18 12:18:46,"If we hadn’t joined the EU, there are 50+ legal protections which simply wouldn’t exist for women. We need to be ta… https://t.co/OGmB3FhloM",Twitter for iPhone,6,16,London
931859211922935809,steve8412,156,2017-11-18 12:18:43,RT @ThomasEvansGB: Ain't it the truth! #Brexit https://t.co/e5sg6UDAn8,Twitter for iPhone,0,30,Tamworth
931859210891034624,FPH_Law,343,2017-11-18 12:18:43,FPH Law Post is out! https://t.co/ZizDlT0mjT #brexit #weekendreading,Paper.li,0,0,"Birkenhead, Wirral"
931859163667488768,jonathandgjones,3453,2017-11-18 12:18:32,RT @KamounLab: Point to this next time you hear “the will of the people” #Brexit https://t.co/EAVWBmxLJ0,Twitter Web Client,0,2,"Sainsbury Lab, Norwich, UK"
931859156625223680,MushyMelbowHead,1481,2017-11-18 12:18:30,RT @PeterKGeoghegan: Just as well Irish politicians can’t read the UK press.... #brexit https://t.co/ek4tDBf4TA,Twitter for iPhone,0,117,Behind you
931859139034218496,DamonMercy,2305,2017-11-18 12:18:26,"@spectator .@FraserNelson No story on Boris's confession to be ignorant of the Irish #brexit position? Probably not important, eh?",Twitter Web Client,0,0,Beside the sea
931859127747465216,Reasons2Remain,2514,2017-11-18 12:18:23,#Remain hero @KenClarkeMP made the most pertinent comment this week: if #UKGov didn’t intend watering down workers’… https://t.co/jKRyPzNcLh,Twitter Web Client,4,5,
931859118578692097,EUDataNewsHub,1059,2017-11-18 12:18:21,European cities involved in fierce competition to win right to host the EMA and EBA after #Brexit… https://t.co/uT39sBDc8e,Twitter Web Client,4,2,
931859105115004929,MeganJFarr,267,2017-11-18 12:18:18,RT @CYPCS: Young people at #YPHRG are concerned that #Brexit creates a big period of uncertainty for them and their rights— and that it was…,TweetDeck,0,2,"Bo'ness, Scotland"
931859103428874245,PaddyBarry5,86,2017-11-18 12:18:18,@TheICanCentre Striking parallels between debates in the UK on #Brexit and in Ireland on #abortion. Brexit zealots… https://t.co/qnCTPxBqbG,Twitter for iPad,0,0,Co Dublin Ireland
931859089122045952,Ballysbest,468,2017-11-18 12:18:14,"Listen I don’t like Leo V very much, but will the condescension of Ireland by the British press ever end. Brexit is… https://t.co/NvZ1DJ2dnS",Twitter for iPhone,0,0,"Dublin & Kerry, Ireland"
931859075226357760,SE25A,1931,2017-11-18 12:18:11,RT @rjbarfield1: 1/3 Free trade agreements and customs union. #brexit https://t.co/YyK61Mbkkl,Twitter Lite,0,7,UK
931859060584009729,ekuldnahlooc,31,2017-11-18 12:18:07,The @Conservatives have always been the party of business. Even more so since 2015. The right wing in this country… https://t.co/urCM2CuwCf,Twitter Web Client,0,0,Existing in my mind's eye
