,tweet_id,username,verified,followers,created_at,tweet_text,reply_to_user,reply_to_tweet,platform,quoted,retweeted,likes,retweets,user_location
645,934570255019659264,IamSWaGodKing,False,6964,2017-11-25 23:51:26,@StrongerStabler EU stand was no deal until money was paid. They said they'll never allow us to become ECOC and dis… https://t.co/tWtLHjD9kX,StrongerStabler,9.344201568807731e+17,Twitter Web Client,False,False,0,0,UK. London
652,934570241052602369,Euqinomist,False,750,2017-11-25 23:51:23,"RT @alexpiletska: This 1990 book may as well have been written in Brexit Britain. Spoiler alert, it did not work out for Britain the first…",,,Twitter for Android,False,False,0,4,Pale Blue Dot
655,934570222593413121,Bushwooder,False,191,2017-11-25 23:51:19,RT @smilinglaura: I think we should tweet @DavidDavisMP EVERY DAY asking about the 58 Brexit impact studies to be released until he respond…,,,Twitter for iPhone,True,False,0,247,"London, UK/La Haie, France"
670,934570173859852288,lilaccruiser,False,34,2017-11-25 23:51:07,"@jjcwow @iThinkSergio @DanielJHannan @StephenPLundy That's cool.  But I don't think leave does mean leave, in reali… https://t.co/4hnYhxQplt",jjcwow,9.34568904877314e+17,Twitter for iPad,False,False,0,0,London
672,934570172786118656,t_viljanen,False,1286,2017-11-25 23:51:07,"RT @BrexitBin: Is the UK a broken society?
- Yes.
Did frustration cause many people to vote Brexit?
- Yes.
Will Brexit solve the problems?…",,,Twitter for iPhone,False,False,0,709,Suomi 
677,934570163906727936,Jennifer196060,False,374,2017-11-25 23:51:05,RT @annaturley: These are the people driving Brexit. How is this ‘taking back control’? Putin's link to Boris and Gove's Brexit 'coup' reve…,,,Twitter for iPhone,False,False,0,12,London
693,934570127634391040,AndyMinCycling,False,2155,2017-11-25 23:50:56,@JamesMelville From the start the lies told about Brexit were an eye opener to how low the leave campaign would sink.,JamesMelville,9.343306879933276e+17,Twitter for Android,False,False,3,0,"Lockerbie, Scotland"
703,934570111326932993,jlj21964,False,6983,2017-11-25 23:50:52,BREXIT FURY: Leaked papers reveal transitional deal CONDITIONAL on accepting NEW EU rules https://t.co/frBRVHNpt7,,,Twitter Web Client,False,False,0,2,s wales Bridgend
705,934570109741486081,DaveyCCC,False,379,2017-11-25 23:50:52,The people saying they couldn't be influenced by Russian interference in the #brexit referendum are the same people… https://t.co/tDZ3py7h26,,,Twitter Web Client,False,False,0,0,"Teignmouth, England"
718,934570065927733248,delnet1,False,98,2017-11-25 23:50:41,@carole99897 @DorothyHesp @MailOnline Is she working for the British people or is she working for Europe I don't th… https://t.co/Gv1BWElqgw,carole99897,9.344425593168773e+17,Twitter for Android,False,False,1,0,kent
723,934570043786121216,Stephen_Gash,False,3354,2017-11-25 23:50:36,"@AMike4761 Yep. European people stood and looked aghast at the arrogant, intransigent Eurocratic response to Brexit… https://t.co/OWhVxY7ksB",AMike4761,9.344085945854648e+17,Twitter Web Client,False,False,0,0,Carlisle
732,934570019534536707,pledgeforeurope,False,2246,2017-11-25 23:50:30,"The people we need to get campaigning alongside us, telling their story #BrexitCanBeBeaten https://t.co/0ErkMUMyo8",,,OS X,False,False,4,2,"London, England"
743,934569991520833536,ToniLuialei,False,919,2017-11-25 23:50:24,RT @smilinglaura: I think we should tweet @DavidDavisMP EVERY DAY asking about the 58 Brexit impact studies to be released until he respond…,,,Twitter for iPad,True,False,0,247,
758,934569957366665222,SponPlague,False,200,2017-11-25 23:50:15,RT @grahambsi: Just how many billions of our money will this government waste before people come to their senses and reject Brexit?,,,Twitter Web Client,False,False,0,123,United Kingdom
